,result
0,130.12968934714794
1,129.85215557195247
2,129.75710636392236
3,129.76725093476475
4,129.82922419548035
5,129.9120999184996
6,129.9999503532052
7,130.08518333375454
8,130.16434196211398
9,130.23584027789533
10,130.29897513069213
11,130.35352968998254
12,130.39967742018402
13,130.43788605570793
14,130.46886184453965
15,130.4934783039242
16,130.51272975668311
17,130.52762911111117
18,130.53915210455656
19,130.5482187179476
20,130.55564980968833
21,130.56211135923863
22,130.56822288237512
23,130.57437777161599
24,130.58094154126942
25,130.5881434121728
26,130.59610728748143
27,130.6048920211941
28,130.61451000362635
29,130.62492406383157
